"id","category","label","text"
673,"climate","Climate and atmospheric science","Motivated by open questions in the monsoon system, we apply satellite remote sensing to characterize surface temperature trends. The results show that our method indicates an accelerating warming trend, advancing climate adaptation planning."
674,"cosmology","Cosmology and astrophysics","This paper investigates gravitational lensing. Building on spectroscopic surveys, we quantify the Hubble constant and find that the method favours a nearly scale-invariant spectrum. Our findings inform dark-sector physics. We further discuss the growth rate of structure and its connection to galaxy clustering."
675,"condensed_matter","Condensed matter and quantum materials","Understanding the fractional quantum Hall effect remains challenging. Using the tensor-network renormalization group, we analyse the Berry curvature and observe that the model exhibits emergent fractionalized excitations, motivating further work in energy-efficient materials. We further discuss the phase diagram and its connection to moire superlattices."
676,"condensed_matter","Condensed matter and quantum materials","We revisit correlated electron systems through the lens of angle-resolved photoemission spectroscopy. Studying the superconducting gap, we show that the approach supports a nontrivial band topology, which is relevant for energy-efficient materials."
677,"deep_learning","Deep learning","This paper investigates deep neural networks. Building on stochastic gradient descent, we quantify sample efficiency and find that the method outperforms strong baselines on standard benchmarks. Our findings inform speech processing."
678,"deep_learning","Deep learning","We revisit recurrent sequence models through the lens of knowledge distillation. Studying training throughput, we show that the approach outperforms strong baselines on standard benchmarks, which is relevant for tabular prediction."
679,"number_theory","Number theory and combinatorics","Motivated by open questions in modular forms, we apply the large sieve to characterize special L-values. The results show that our method reveals an unexpected connection to modular forms, advancing cryptographic hardness."
680,"number_theory","Number theory and combinatorics","We revisit random matrix analogies through the lens of analytic estimates. Studying additive energy, we show that the approach resolves a special case of a long-standing problem, which is relevant for arithmetic statistics."
681,"deep_learning","Deep learning","We revisit deep neural networks through the lens of stochastic gradient descent. Studying training throughput, we show that the approach outperforms strong baselines on standard benchmarks, which is relevant for tabular prediction. We further discuss representation quality and its connection to recurrent sequence models."
682,"cosmology","Cosmology and astrophysics","Motivated by open questions in type Ia supernovae, we apply photometric redshift estimation to characterize primordial non-Gaussianity. The results show that our method is consistent with the LambdaCDM concordance model, advancing cosmological forecasting."
683,"number_theory","Number theory and combinatorics","Understanding sieve methods remains challenging. Using spectral methods, we analyse the rank of the group and observe that the model resolves a special case of a long-standing problem, motivating further work in arithmetic statistics."
684,"condensed_matter","Condensed matter and quantum materials","We study magnetic skyrmions using transport measurements. We measure quasiparticle interference and show that our approach exhibits emergent fractionalized excitations. These results have implications for spintronic devices."
685,"epidemiology","Epidemiology and public health","We revisit vaccine effectiveness through the lens of cohort studies. Studying incidence rates, we show that the approach reveals persistent socioeconomic disparities, which is relevant for resource allocation."
686,"number_theory","Number theory and combinatorics","We present a framework for studying the distribution of prime numbers based on analytic estimates. Focusing on special L-values, we demonstrate that it proves a conjecture in a wide range of cases, with applications to coding theory. We further discuss rational points and its connection to sieve methods."
687,"condensed_matter","Condensed matter and quantum materials","We revisit quantum spin liquids through the lens of angle-resolved photoemission spectroscopy. Studying the phase diagram, we show that the approach displays a tunable metal-insulator transition, which is relevant for energy-efficient materials. We further discuss the superconducting gap and its connection to two-dimensional materials."
688,"genomics","Genomics and molecular biology","We revisit RNA splicing patterns through the lens of differential expression analysis. Studying clonal architecture, we show that the approach uncovers coordinated transcriptional programmes, which is relevant for rare-disease diagnosis."
689,"genomics","Genomics and molecular biology","We present a framework for studying protein-coding variants based on mass spectrometry. Focusing on pathway enrichment, we demonstrate that it identifies previously uncharacterized cell states, with applications to rare-disease diagnosis."
690,"deep_learning","Deep learning","Motivated by open questions in deep neural networks, we apply adversarial fine-tuning to characterize sample efficiency. The results show that our method improves robustness to distribution shift, advancing recommendation systems. We further discuss training throughput and its connection to deep neural networks."
691,"epidemiology","Epidemiology and public health","We present a framework for studying antimicrobial resistance based on survival analysis. Focusing on healthcare utilization, we demonstrate that it reveals persistent socioeconomic disparities, with applications to outbreak response. We further discuss the cost-effectiveness ratio and its connection to the burden of chronic disease."
692,"deep_learning","Deep learning","We revisit recurrent sequence models through the lens of data augmentation. Studying training throughput, we show that the approach reduces the number of labelled examples required, which is relevant for autonomous perception. We further discuss representation quality and its connection to generative diffusion models."
693,"cosmology","Cosmology and astrophysics","Motivated by open questions in galaxy clustering, we apply cross-correlation analysis to characterize primordial non-Gaussianity. The results show that our method is consistent with the LambdaCDM concordance model, advancing cosmological forecasting."
694,"number_theory","Number theory and combinatorics","Motivated by open questions in sieve methods, we apply Galois representations to characterize prime gaps. The results show that our method proves a conjecture in a wide range of cases, advancing arithmetic statistics. We further discuss the rank of the group and its connection to modular forms."
695,"genomics","Genomics and molecular biology","Understanding epigenetic modifications remains challenging. Using mass spectrometry, we analyse cell-type identity and observe that the model uncovers coordinated transcriptional programmes, motivating further work in developmental biology."
696,"epidemiology","Epidemiology and public health","Motivated by open questions in the burden of chronic disease, we apply survival analysis to characterize the cost-effectiveness ratio. The results show that our method reveals persistent socioeconomic disparities, advancing resource allocation."
697,"number_theory","Number theory and combinatorics","We present a framework for studying sieve methods based on probabilistic combinatorics. Focusing on rational points, we demonstrate that it reveals an unexpected connection to modular forms, with applications to computational number theory. We further discuss additive energy and its connection to Diophantine equations."
698,"climate","Climate and atmospheric science","We revisit greenhouse-gas forcing through the lens of downscaling techniques. Studying extreme-event frequency, we show that the approach highlights nonlinear feedback processes, which is relevant for seasonal forecasting. We further discuss climate sensitivity and its connection to atmospheric aerosols."
699,"condensed_matter","Condensed matter and quantum materials","We revisit quantum spin liquids through the lens of transport measurements. Studying the superconducting gap, we show that the approach hosts robust topologically protected edge states, which is relevant for quantum computing platforms. We further discuss spin correlations and its connection to two-dimensional materials."
700,"epidemiology","Epidemiology and public health","We study infectious-disease transmission using survival analysis. We measure the basic reproduction number and show that our approach supports the cost-effectiveness of early screening. These results have implications for equity-focused screening. We further discuss case-fatality ratios and its connection to the burden of chronic disease."
701,"condensed_matter","Condensed matter and quantum materials","Understanding magnetic skyrmions remains challenging. Using transport measurements, we analyse spin correlations and observe that the model exhibits emergent fractionalized excitations, motivating further work in spintronic devices."
702,"genomics","Genomics and molecular biology","Motivated by open questions in single-cell transcriptomes, we apply spatial transcriptomics to characterize regulatory element activity. The results show that our method implicates specific pathways in progression, advancing developmental biology. We further discuss allele-specific expression and its connection to single-cell transcriptomes."
703,"cryptography","Cryptography and security","This paper investigates lattice-based signatures. Building on reductions to hard lattice problems, we quantify key-exchange latency and find that the method improves the efficiency of the verifier. Our findings inform financial infrastructure."
704,"deep_learning","Deep learning","We study recurrent sequence models using contrastive pre-training. We measure training throughput and show that our approach reduces the number of labelled examples required. These results have implications for tabular prediction."
705,"climate","Climate and atmospheric science","We revisit regional precipitation extremes through the lens of satellite remote sensing. Studying radiative forcing, we show that the approach highlights nonlinear feedback processes, which is relevant for carbon-budget accounting."
706,"deep_learning","Deep learning","We revisit graph neural networks through the lens of data augmentation. Studying calibration error, we show that the approach improves robustness to distribution shift, which is relevant for image recognition."
707,"condensed_matter","Condensed matter and quantum materials","This paper investigates the fractional quantum Hall effect. Building on quantum Monte Carlo, we quantify the Berry curvature and find that the method supports a nontrivial band topology. Our findings inform quantum computing platforms. We further discuss quasiparticle interference and its connection to magnetic skyrmions."
708,"cryptography","Cryptography and security","Motivated by open questions in zero-knowledge proof systems, we apply differential power analysis to characterize the soundness error. The results show that our method resists known quantum and classical attacks, advancing financial infrastructure."
709,"cryptography","Cryptography and security","We present a framework for studying side-channel attacks based on constant-time implementation. Focusing on the attack surface, we demonstrate that it improves the efficiency of the verifier, with applications to privacy-preserving analytics."
710,"climate","Climate and atmospheric science","We present a framework for studying the global carbon cycle based on reanalysis data assimilation. Focusing on sea-level rise, we demonstrate that it reveals strong regional heterogeneity, with applications to climate adaptation planning. We further discuss climate sensitivity and its connection to regional precipitation extremes."
711,"number_theory","Number theory and combinatorics","This paper investigates L-functions. Building on probabilistic combinatorics, we quantify special L-values and find that the method reveals an unexpected connection to modular forms. Our findings inform computational number theory."
712,"number_theory","Number theory and combinatorics","Motivated by open questions in sieve methods, we apply the circle method to characterize additive energy. The results show that our method reveals an unexpected connection to modular forms, advancing computational number theory. We further discuss the rank of the group and its connection to sieve methods."
713,"cryptography","Cryptography and security","Motivated by open questions in secure multiparty computation, we apply reductions to hard lattice problems to characterize the attack surface. The results show that our method closes a previously overlooked side channel, advancing digital identity."
714,"cosmology","Cosmology and astrophysics","We revisit baryon acoustic oscillations through the lens of N-body simulations. Studying the matter power spectrum, we show that the approach favours a nearly scale-invariant spectrum, which is relevant for next-generation redshift surveys."
715,"number_theory","Number theory and combinatorics","Understanding the distribution of prime numbers remains challenging. Using algebraic geometry techniques, we analyse additive energy and observe that the model establishes an asymptotic formula under mild hypotheses, motivating further work in computational number theory. We further discuss prime gaps and its connection to Diophantine equations."
716,"climate","Climate and atmospheric science","We study land-surface feedbacks using satellite remote sensing. We measure surface temperature trends and show that our approach indicates an accelerating warming trend. These results have implications for climate adaptation planning. We further discuss the hydrological cycle and its connection to regional precipitation extremes."
717,"genomics","Genomics and molecular biology","This paper investigates gene regulatory networks. Building on genome-wide association mapping, we quantify allele-specific expression and find that the method uncovers coordinated transcriptional programmes. Our findings inform developmental biology. We further discuss allele-specific expression and its connection to epigenetic modifications."
718,"deep_learning","Deep learning","Understanding recurrent sequence models remains challenging. Using knowledge distillation, we analyse training throughput and observe that the model reduces the number of labelled examples required, motivating further work in speech processing. We further discuss generalization gap and its connection to generative diffusion models."
719,"condensed_matter","Condensed matter and quantum materials","We revisit the fractional quantum Hall effect through the lens of angle-resolved photoemission spectroscopy. Studying quasiparticle interference, we show that the approach displays a tunable metal-insulator transition, which is relevant for low-power electronics."
720,"deep_learning","Deep learning","Motivated by open questions in transformer architectures, we apply stochastic gradient descent to characterize classification accuracy. The results show that our method improves robustness to distribution shift, advancing recommendation systems."
721,"number_theory","Number theory and combinatorics","This paper investigates sieve methods. Building on Galois representations, we quantify the rank of the group and find that the method proves a conjecture in a wide range of cases. Our findings inform computational number theory."
722,"cryptography","Cryptography and security","We study lattice-based signatures using the random-oracle model. We measure the security parameter and show that our approach reduces communication overhead substantially. These results have implications for digital identity. We further discuss key-exchange latency and its connection to zero-knowledge proof systems."
723,"condensed_matter","Condensed matter and quantum materials","This paper investigates magnetic skyrmions. Building on scanning tunnelling microscopy, we quantify the superconducting gap and find that the method hosts robust topologically protected edge states. Our findings inform spintronic devices."
724,"climate","Climate and atmospheric science","Understanding greenhouse-gas forcing remains challenging. Using downscaling techniques, we analyse radiative forcing and observe that the model highlights nonlinear feedback processes, motivating further work in seasonal forecasting. We further discuss radiative forcing and its connection to ocean heat uptake."
725,"condensed_matter","Condensed matter and quantum materials","We revisit high-temperature superconductors through the lens of quantum Monte Carlo. Studying quasiparticle interference, we show that the approach displays a tunable metal-insulator transition, which is relevant for low-power electronics. We further discuss the phase diagram and its connection to magnetic skyrmions."
726,"epidemiology","Epidemiology and public health","We study infectious-disease transmission using compartmental transmission models. We measure case-fatality ratios and show that our approach reveals persistent socioeconomic disparities. These results have implications for equity-focused screening. We further discuss case-fatality ratios and its connection to infectious-disease transmission."
727,"epidemiology","Epidemiology and public health","Motivated by open questions in antimicrobial resistance, we apply instrumental-variable estimation to characterize healthcare utilization. The results show that our method reveals persistent socioeconomic disparities, advancing equity-focused screening."
728,"genomics","Genomics and molecular biology","This paper investigates gene regulatory networks. Building on high-throughput sequencing, we quantify regulatory element activity and find that the method identifies previously uncharacterized cell states. Our findings inform rare-disease diagnosis."
729,"climate","Climate and atmospheric science","We study the monsoon system using reanalysis data assimilation. We measure radiative forcing and show that our approach reveals strong regional heterogeneity. These results have implications for seasonal forecasting. We further discuss surface temperature trends and its connection to regional precipitation extremes."
730,"cryptography","Cryptography and security","We study homomorphic encryption using differential power analysis. We measure key-exchange latency and show that our approach achieves provable security under standard assumptions. These results have implications for secure messaging. We further discuss the soundness error and its connection to side-channel attacks."
731,"climate","Climate and atmospheric science","We study ocean heat uptake using coupled climate model ensembles. We measure the hydrological cycle and show that our approach reduces uncertainty in projected sea-level rise. These results have implications for climate adaptation planning. We further discuss extreme-event frequency and its connection to the monsoon system."
732,"cryptography","Cryptography and security","We revisit authenticated encryption through the lens of formal protocol verification. Studying proof size, we show that the approach reduces communication overhead substantially, which is relevant for privacy-preserving analytics. We further discuss the soundness error and its connection to blockchain consensus protocols."
733,"number_theory","Number theory and combinatorics","We study Diophantine equations using Galois representations. We measure class numbers and show that our approach establishes an asymptotic formula under mild hypotheses. These results have implications for cryptographic hardness."
734,"cryptography","Cryptography and security","We present a framework for studying zero-knowledge proof systems based on the random-oracle model. Focusing on proof size, we demonstrate that it achieves provable security under standard assumptions, with applications to financial infrastructure. We further discuss proof size and its connection to side-channel attacks."
735,"climate","Climate and atmospheric science","We revisit the monsoon system through the lens of paleoclimate proxy reconstruction. Studying surface temperature trends, we show that the approach attributes recent extremes to anthropogenic forcing, which is relevant for flood-risk assessment. We further discuss extreme-event frequency and its connection to Arctic sea-ice decline."
736,"cryptography","Cryptography and security","We study side-channel attacks using formal protocol verification. We measure key-exchange latency and show that our approach achieves provable security under standard assumptions. These results have implications for financial infrastructure. We further discuss the attack surface and its connection to post-quantum key exchange."
737,"deep_learning","Deep learning","This paper investigates convolutional models. Building on parameter-efficient adapters, we quantify classification accuracy and find that the method improves robustness to distribution shift. Our findings inform image recognition. We further discuss classification accuracy and its connection to self-supervised representation learning."
738,"cosmology","Cosmology and astrophysics","We revisit baryon acoustic oscillations through the lens of N-body simulations. Studying the matter power spectrum, we show that the approach constrains the sum of neutrino masses, which is relevant for dark-sector physics."
739,"deep_learning","Deep learning","We present a framework for studying self-supervised representation learning based on mixed-precision training. Focusing on generalization gap, we demonstrate that it reduces the number of labelled examples required, with applications to image recognition. We further discuss representation quality and its connection to attention mechanisms."
740,"deep_learning","Deep learning","This paper investigates self-supervised representation learning. Building on curriculum learning, we quantify calibration error and find that the method reduces the number of labelled examples required. Our findings inform autonomous perception."
741,"cosmology","Cosmology and astrophysics","This paper investigates baryon acoustic oscillations. Building on Bayesian parameter inference, we quantify the growth rate of structure and find that the method reveals a mild tension with local measurements. Our findings inform dark-sector physics."
742,"genomics","Genomics and molecular biology","We present a framework for studying protein-coding variants based on spatial transcriptomics. Focusing on mutational burden, we demonstrate that it resolves heterogeneity within tumour samples, with applications to precision oncology. We further discuss pathway enrichment and its connection to gene regulatory networks."
743,"climate","Climate and atmospheric science","This paper investigates regional precipitation extremes. Building on paleoclimate proxy reconstruction, we quantify radiative forcing and find that the method indicates an accelerating warming trend. Our findings inform seasonal forecasting. We further discuss climate sensitivity and its connection to the global carbon cycle."
744,"number_theory","Number theory and combinatorics","We present a framework for studying sieve methods based on spectral methods. Focusing on class numbers, we demonstrate that it resolves a special case of a long-standing problem, with applications to coding theory. We further discuss class numbers and its connection to sieve methods."
745,"climate","Climate and atmospheric science","Understanding atmospheric aerosols remains challenging. Using detection-and-attribution analysis, we analyse climate sensitivity and observe that the model highlights nonlinear feedback processes, motivating further work in seasonal forecasting. We further discuss surface temperature trends and its connection to regional precipitation extremes."
746,"climate","Climate and atmospheric science","We revisit greenhouse-gas forcing through the lens of downscaling techniques. Studying surface temperature trends, we show that the approach reduces uncertainty in projected sea-level rise, which is relevant for climate adaptation planning."
747,"cryptography","Cryptography and security","Motivated by open questions in authenticated encryption, we apply the random-oracle model to characterize proof size. The results show that our method closes a previously overlooked side channel, advancing secure messaging."
748,"cryptography","Cryptography and security","Motivated by open questions in blockchain consensus protocols, we apply provable-security proofs to characterize the attack surface. The results show that our method closes a previously overlooked side channel, advancing privacy-preserving analytics."
749,"condensed_matter","Condensed matter and quantum materials","We revisit magnetic skyrmions through the lens of scanning tunnelling microscopy. Studying quasiparticle interference, we show that the approach hosts robust topologically protected edge states, which is relevant for spintronic devices. We further discuss the electronic band structure and its connection to high-temperature superconductors."
750,"condensed_matter","Condensed matter and quantum materials","Understanding the fractional quantum Hall effect remains challenging. Using the tensor-network renormalization group, we analyse the Berry curvature and observe that the model displays a tunable metal-insulator transition, motivating further work in low-power electronics."
751,"condensed_matter","Condensed matter and quantum materials","We study high-temperature superconductors using transport measurements. We measure the superconducting gap and show that our approach hosts robust topologically protected edge states. These results have implications for low-power electronics."
752,"climate","Climate and atmospheric science","We study ocean heat uptake using detection-and-attribution analysis. We measure radiative forcing and show that our approach highlights nonlinear feedback processes. These results have implications for carbon-budget accounting."
753,"cryptography","Cryptography and security","Motivated by open questions in post-quantum key exchange, we apply constant-time implementation to characterize key-exchange latency. The results show that our method reduces communication overhead substantially, advancing secure messaging."
754,"deep_learning","Deep learning","We study self-supervised representation learning using knowledge distillation. We measure classification accuracy and show that our approach narrows the gap to fully supervised models. These results have implications for recommendation systems."
755,"number_theory","Number theory and combinatorics","We revisit additive combinatorics through the lens of algebraic geometry techniques. Studying the rank of the group, we show that the approach reveals an unexpected connection to modular forms, which is relevant for computational number theory. We further discuss the rank of the group and its connection to L-functions."
756,"cryptography","Cryptography and security","We present a framework for studying homomorphic encryption based on formal protocol verification. Focusing on the attack surface, we demonstrate that it achieves provable security under standard assumptions, with applications to privacy-preserving analytics."
757,"epidemiology","Epidemiology and public health","We present a framework for studying population screening programmes based on compartmental transmission models. Focusing on case-fatality ratios, we demonstrate that it identifies groups at elevated risk, with applications to outbreak response."
758,"epidemiology","Epidemiology and public health","We revisit the burden of chronic disease through the lens of difference-in-differences designs. Studying the basic reproduction number, we show that the approach identifies groups at elevated risk, which is relevant for outbreak response."
759,"number_theory","Number theory and combinatorics","This paper investigates Diophantine equations. Building on probabilistic combinatorics, we quantify additive energy and find that the method resolves a special case of a long-standing problem. Our findings inform computational number theory."
760,"number_theory","Number theory and combinatorics","We present a framework for studying additive combinatorics based on algebraic geometry techniques. Focusing on rational points, we demonstrate that it reveals an unexpected connection to modular forms, with applications to cryptographic hardness."
761,"deep_learning","Deep learning","Understanding self-supervised representation learning remains challenging. Using adversarial fine-tuning, we analyse classification accuracy and observe that the model reduces the number of labelled examples required, motivating further work in speech processing. We further discuss representation quality and its connection to graph neural networks."
762,"epidemiology","Epidemiology and public health","We present a framework for studying infectious-disease transmission based on Bayesian hierarchical models. Focusing on incidence rates, we demonstrate that it quantifies the impact of policy changes on outcomes, with applications to resource allocation."
763,"climate","Climate and atmospheric science","We revisit atmospheric aerosols through the lens of satellite remote sensing. Studying the hydrological cycle, we show that the approach indicates an accelerating warming trend, which is relevant for flood-risk assessment. We further discuss surface temperature trends and its connection to ocean heat uptake."
764,"genomics","Genomics and molecular biology","We revisit CRISPR perturbation screens through the lens of differential expression analysis. Studying cell-type identity, we show that the approach identifies previously uncharacterized cell states, which is relevant for developmental biology. We further discuss regulatory element activity and its connection to epigenetic modifications."
765,"deep_learning","Deep learning","This paper investigates generative diffusion models. Building on adversarial fine-tuning, we quantify training throughput and find that the method learns transferable features across tasks. Our findings inform speech processing."
766,"number_theory","Number theory and combinatorics","We revisit L-functions through the lens of analytic estimates. Studying prime gaps, we show that the approach proves a conjecture in a wide range of cases, which is relevant for coding theory. We further discuss the rank of the group and its connection to Diophantine equations."
767,"epidemiology","Epidemiology and public health","Understanding population screening programmes remains challenging. Using survival analysis, we analyse the cost-effectiveness ratio and observe that the model supports the cost-effectiveness of early screening, motivating further work in resource allocation. We further discuss years of life lost and its connection to mental-health service use."
768,"number_theory","Number theory and combinatorics","This paper investigates the distribution of prime numbers. Building on analytic estimates, we quantify the rank of the group and find that the method reveals an unexpected connection to modular forms. Our findings inform coding theory."
769,"cryptography","Cryptography and security","Motivated by open questions in blockchain consensus protocols, we apply the random-oracle model to characterize ciphertext expansion. The results show that our method resists known quantum and classical attacks, advancing secure messaging."
770,"cryptography","Cryptography and security","We study blockchain consensus protocols using formal protocol verification. We measure key-exchange latency and show that our approach closes a previously overlooked side channel. These results have implications for secure messaging."
771,"cryptography","Cryptography and security","Motivated by open questions in blockchain consensus protocols, we apply the random-oracle model to characterize ciphertext expansion. The results show that our method improves the efficiency of the verifier, advancing privacy-preserving analytics. We further discuss the attack surface and its connection to post-quantum key exchange."
772,"climate","Climate and atmospheric science","Understanding the global carbon cycle remains challenging. Using detection-and-attribution analysis, we analyse extreme-event frequency and observe that the model reduces uncertainty in projected sea-level rise, motivating further work in climate adaptation planning. We further discuss the hydrological cycle and its connection to regional precipitation extremes."
773,"cosmology","Cosmology and astrophysics","We study gravitational lensing using cross-correlation analysis. We measure cluster mass functions and show that our approach constrains the sum of neutrino masses. These results have implications for dark-sector physics."
774,"genomics","Genomics and molecular biology","Understanding RNA splicing patterns remains challenging. Using mass spectrometry, we analyse mutational burden and observe that the model resolves heterogeneity within tumour samples, motivating further work in developmental biology."
775,"deep_learning","Deep learning","Motivated by open questions in recurrent sequence models, we apply knowledge distillation to characterize calibration error. The results show that our method outperforms strong baselines on standard benchmarks, advancing recommendation systems. We further discuss training throughput and its connection to deep neural networks."
776,"number_theory","Number theory and combinatorics","Understanding additive combinatorics remains challenging. Using Galois representations, we analyse class numbers and observe that the model resolves a special case of a long-standing problem, motivating further work in coding theory."
777,"number_theory","Number theory and combinatorics","We study modular forms using Galois representations. We measure rational points and show that our approach resolves a special case of a long-standing problem. These results have implications for arithmetic statistics."
778,"epidemiology","Epidemiology and public health","This paper investigates maternal health outcomes. Building on propensity-score matching, we quantify incidence rates and find that the method reveals persistent socioeconomic disparities. Our findings inform resource allocation. We further discuss healthcare utilization and its connection to mental-health service use."
779,"number_theory","Number theory and combinatorics","We revisit the distribution of prime numbers through the lens of spectral methods. Studying the rank of the group, we show that the approach improves the best known bound, which is relevant for cryptographic hardness."
780,"genomics","Genomics and molecular biology","We study protein-coding variants using differential expression analysis. We measure mutational burden and show that our approach identifies previously uncharacterized cell states. These results have implications for precision oncology."
781,"climate","Climate and atmospheric science","We revisit regional precipitation extremes through the lens of paleoclimate proxy reconstruction. Studying climate sensitivity, we show that the approach reduces uncertainty in projected sea-level rise, which is relevant for carbon-budget accounting."
782,"genomics","Genomics and molecular biology","We revisit single-cell transcriptomes through the lens of spatial transcriptomics. Studying cell-type identity, we show that the approach identifies previously uncharacterized cell states, which is relevant for developmental biology."
783,"cosmology","Cosmology and astrophysics","We study dark matter halos using N-body simulations. We measure the dark energy equation of state and show that our approach reveals a mild tension with local measurements. These results have implications for tests of general relativity."
784,"number_theory","Number theory and combinatorics","We study elliptic curves over number fields using algebraic geometry techniques. We measure prime gaps and show that our approach reveals an unexpected connection to modular forms. These results have implications for coding theory."
785,"climate","Climate and atmospheric science","We revisit the monsoon system through the lens of satellite remote sensing. Studying extreme-event frequency, we show that the approach attributes recent extremes to anthropogenic forcing, which is relevant for seasonal forecasting. We further discuss surface temperature trends and its connection to regional precipitation extremes."
786,"cosmology","Cosmology and astrophysics","Motivated by open questions in large-scale structure formation, we apply weak-lensing tomography to characterize primordial non-Gaussianity. The results show that our method tightens constraints on cosmological parameters, advancing tests of general relativity. We further discuss the Hubble constant and its connection to gravitational lensing."
787,"epidemiology","Epidemiology and public health","We revisit vaccine effectiveness through the lens of survival analysis. Studying case-fatality ratios, we show that the approach identifies groups at elevated risk, which is relevant for outbreak response."
788,"genomics","Genomics and molecular biology","We present a framework for studying the tumour microenvironment based on variant calling pipelines. Focusing on allele-specific expression, we demonstrate that it resolves heterogeneity within tumour samples, with applications to developmental biology. We further discuss mutational burden and its connection to gene regulatory networks."
789,"genomics","Genomics and molecular biology","Motivated by open questions in single-cell transcriptomes, we apply genome-wide association mapping to characterize cell-type identity. The results show that our method links regulatory variants to disease risk, advancing rare-disease diagnosis."
790,"deep_learning","Deep learning","Motivated by open questions in generative diffusion models, we apply mixed-precision training to characterize representation quality. The results show that our method improves robustness to distribution shift, advancing tabular prediction. We further discuss generalization gap and its connection to graph neural networks."
791,"deep_learning","Deep learning","Understanding deep neural networks remains challenging. Using stochastic gradient descent, we analyse sample efficiency and observe that the model outperforms strong baselines on standard benchmarks, motivating further work in image recognition. We further discuss generalization gap and its connection to graph neural networks."
792,"climate","Climate and atmospheric science","This paper investigates the global carbon cycle. Building on satellite remote sensing, we quantify radiative forcing and find that the method reveals strong regional heterogeneity. Our findings inform seasonal forecasting. We further discuss radiative forcing and its connection to greenhouse-gas forcing."
793,"cryptography","Cryptography and security","We revisit zero-knowledge proof systems through the lens of constant-time implementation. Studying proof size, we show that the approach achieves provable security under standard assumptions, which is relevant for secure messaging. We further discuss the soundness error and its connection to post-quantum key exchange."
794,"condensed_matter","Condensed matter and quantum materials","Understanding high-temperature superconductors remains challenging. Using transport measurements, we analyse the superconducting gap and observe that the model exhibits emergent fractionalized excitations, motivating further work in quantum computing platforms."
795,"genomics","Genomics and molecular biology","We present a framework for studying CRISPR perturbation screens based on high-throughput sequencing. Focusing on regulatory element activity, we demonstrate that it uncovers coordinated transcriptional programmes, with applications to developmental biology."
796,"deep_learning","Deep learning","We present a framework for studying transformer architectures based on curriculum learning. Focusing on classification accuracy, we demonstrate that it reduces the number of labelled examples required, with applications to speech processing."
797,"cosmology","Cosmology and astrophysics","Motivated by open questions in type Ia supernovae, we apply Bayesian parameter inference to characterize the matter power spectrum. The results show that our method is consistent with the LambdaCDM concordance model, advancing next-generation redshift surveys. We further discuss the matter power spectrum and its connection to baryon acoustic oscillations."
798,"climate","Climate and atmospheric science","We revisit land-surface feedbacks through the lens of reanalysis data assimilation. Studying sea-level rise, we show that the approach highlights nonlinear feedback processes, which is relevant for climate adaptation planning."
799,"number_theory","Number theory and combinatorics","We revisit modular forms through the lens of spectral methods. Studying class numbers, we show that the approach proves a conjecture in a wide range of cases, which is relevant for arithmetic statistics. We further discuss additive energy and its connection to random matrix analogies."
800,"deep_learning","Deep learning","We study transformer architectures using contrastive pre-training. We measure training throughput and show that our approach reduces the number of labelled examples required. These results have implications for recommendation systems."
801,"climate","Climate and atmospheric science","We revisit Arctic sea-ice decline through the lens of detection-and-attribution analysis. Studying the hydrological cycle, we show that the approach indicates an accelerating warming trend, which is relevant for seasonal forecasting."
802,"cosmology","Cosmology and astrophysics","We present a framework for studying type Ia supernovae based on spectroscopic surveys. Focusing on the matter power spectrum, we demonstrate that it is consistent with the LambdaCDM concordance model, with applications to dark-sector physics. We further discuss primordial non-Gaussianity and its connection to baryon acoustic oscillations."
803,"number_theory","Number theory and combinatorics","Understanding Diophantine equations remains challenging. Using algebraic geometry techniques, we analyse rational points and observe that the model resolves a special case of a long-standing problem, motivating further work in coding theory."
804,"number_theory","Number theory and combinatorics","We study the distribution of prime numbers using spectral methods. We measure prime gaps and show that our approach proves a conjecture in a wide range of cases. These results have implications for coding theory."
805,"deep_learning","Deep learning","We study transformer architectures using adversarial fine-tuning. We measure training throughput and show that our approach reduces the number of labelled examples required. These results have implications for autonomous perception."
806,"deep_learning","Deep learning","We study generative diffusion models using knowledge distillation. We measure calibration error and show that our approach reduces the number of labelled examples required. These results have implications for tabular prediction."
807,"condensed_matter","Condensed matter and quantum materials","Understanding correlated electron systems remains challenging. Using density functional theory, we analyse spin correlations and observe that the model hosts robust topologically protected edge states, motivating further work in low-power electronics. We further discuss quasiparticle interference and its connection to magnetic skyrmions."
808,"genomics","Genomics and molecular biology","We revisit single-cell transcriptomes through the lens of high-throughput sequencing. Studying pathway enrichment, we show that the approach uncovers coordinated transcriptional programmes, which is relevant for rare-disease diagnosis."
809,"condensed_matter","Condensed matter and quantum materials","We study quantum spin liquids using transport measurements. We measure spin correlations and show that our approach supports a nontrivial band topology. These results have implications for energy-efficient materials. We further discuss the phase diagram and its connection to correlated electron systems."
